regno,charity_name,legacy_income,voluntary_income,total_income,total_expenditure
1125603,ACADEMIES ENTERPRISE TRUST,NA,NA,83711000,39500000
1015988,WRVS,95520,1678927,81959740,83304193
1072612,THE UNITED KINGDOM COMMITTEE FOR UNICEF,4269000,78523000,81312000,81246000
289868,"SENSE, THE NATIONAL DEAFBLIND AND RUBELLA ASSOCIATION",2530623,10992989,81021354,77147650
297241,BRITISH EDUCATIONAL COMMUNICATIONS AND TECHNOLOGY AGENCY,0,80390000,80418000,115304000
229476,INTERNATIONAL PLANNED PARENTHOOD FEDERATION,601245,77570463,80296206,81951361
1116657,THE BECHT FAMILY CHARITABLE TRUST,0,77596500,79898303,281561
525938,UNIVERSITY COLLEGE CHESTER,0,0,79859407,75378571
1052076,SUE RYDER,5519000,12730000,76228000,75546000
1108779,WALSALL HOUSING GROUP LIMITED,0,0,74648186,66468201
327816,THE EXTRACARE CHARITABLE TRUST,0,1723000,74304000,66152000
1127929,STONYHURST,0,61619525,73880899,13921245
1062638,DISASTERS EMERGENCY COMMITTEE,0,73585000,73687000,25452000
271297,THE COLLEGE OF LAW,0,0,73113000,62978000
1074857,THE ARCHBISHOPS' COUNCIL,678000,1262000,73031000,71896000
326568,CHARITY PROJECTS,0,58964336,72189857,79237419
1016538,THE UNITED CHURCH SCHOOLS TRUST,0,563000,71805000,76249000
296072,CONSUMERS' ASSOCIATION,0,0,70870000,68168000
207043,THE ROYAL SOCIETY OF LONDON FOR IMPROVING NATURAL KNOWLEDGE (COMMONLY KNOWN AS THE ROYAL SOCIETY),25000,58744000,70748000,65726000
1109288,OASIS COMMUNITY LEARNING,NA,NA,70713000,77959000
313194,METHODIST INDEPENDENT EDUCATION TRUST,0,418000,70213000,68094000
1127514,THE MARCELA TRUST,0,70045373,70045373,801763
234887,TURNING POINT,72500,144927,69167133,68980113
224223,THE ROYAL NATIONAL THEATRE,27908,26336000,65954000,65455000
222879,THE ROYAL HORTICULTURAL SOCIETY,2819000,6213000,65819000,60362000
274467,ACTIONAID,1777000,53355000,65745000,63783000
279057,THE NATIONAL ASSOCIATION OF CITIZENS ADVICE BUREAUX,132000,231000,65215000,64441000
265464,TEARFUND,3288000,63041000,64848000,59652000
328158,ISLAMIC RELIEF WORLDWIDE,0,50136719,64349022,60216641
228824,THE INSTITUTE FOR ANIMAL HEALTH,0,0,63738000,45486000
1068661,THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE,775000,3294000,63415000,60085000
265249,UNITED RESPONSE,0,473000,61940000,60052000
1068852,HISTORIC ROYAL PALACES,0,2086000,61792000,56034000
227523,DOGS TRUST,18506000,56177000,61695000,54870000
226171,"NACRO",0,1496000,61043000,57310000
285908,WORLD VISION UK,1099000,60867000,60987000,59921000
230260,GARFIELD WESTON FOUNDATION,0,0,60052000,34939000
1135111,MEDICAL EMERGENCY RELIEF INTERNATIONAL,0,8605328,59507197,59898593
288371,THE LEVERHULME TRUST,0,0,59115000,51479000
296645,ALZHEIMER'S SOCIETY,10465000,31950000,58907000,57299000
1124189,E-ACT,NA,NA,58743000,55781000
1123956,GOLDMAN SACHS GIVES (UK),0,57453890,57565697,6764578
1079327,CRIME REDUCTION INITIATIVES,0,36000,57508000,56267000
251549,ELIM FOURSQUARE GOSPEL ALLIANCE,431399,42614307,57507073,55641697
212481,"THE ROYAL SHAKESPEARE COMPANY, STRATFORD-UPON-AVON",154555,30453017,57427067,33505043
209617,THE GUIDE DOGS FOR THE BLIND ASSOCIATION,28125000,52828000,57366000,73028000
211014,THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4651000,4651000,57218000,49702000
1081247,WWF - UK,10247000,45614000,56714000,50512000
260059,THE MATHILDA AND TERENCE KENNEDY INSTITUTE OF RHEUMATOLOGY TRUST,30000,39000,55650000,30344000
235825,THE GREAT ORMOND STREET HOSPITAL CHILDREN'S CHARITY,8346000,43456000,55456000,44137000
700520,SHEFFIELD CITY TRUST,0,21652000,55094000,55944000
1008587,ALTERNATIVE FUTURES GROUP  LIMITED,0,0,54195684,50791624
234714,STEWARDSHIP SERVICES (UKET) LIMITED,0,51232000,54031000,54208000
313757,VOLUNTARY SERVICE OVERSEAS,0,51696000,53009000,49376000
271028,"NATIONAL SCHIZOPHRENIA FELLOWSHIP",171456,980473,52970777,51362074
802559,JEWISH CARE,4609000,24191000,52967000,45590000
1125841,CREATIVITY CULTURE AND EDUCATION,0,0,52781572,49657262
222655,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,0,6448000,52525000,51161000
1060579,LIVERPOOL HOPE UNIVERSITY,0,22991672,52492266,48117180
204817,THE BEDFORD CHARITY (THE HARPUR TRUST),0,453000,52397000,51940000
298028,VICTIM SUPPORT,0,2554000,51779000,49550000
1091434,NURSING AND MIDWIFERY COUNCIL,0,0,51708000,36738000
1113255,VINSPIRED,0,415000,51528000,47525000
263710,"SHELTER, NATIONAL CAMPAIGN FOR HOMELESS PEOPLE LIMITED",3234000,25532000,51132000,45900000
306122,YHA (ENGLAND AND WALES),652000,3650000,50914000,49917000
251988,THE GATSBY CHARITABLE FOUNDATION,0,7067000,50266000,50608000
1107073,HELENA PARTNERSHIPS LIMITED,0,0,49991000,55721000
1103644,KNOWSLEY HOUSING TRUST,0,0,49717000,50033000
276035,PLAN INTERNATIONAL UK,613570,49437000,49683000,49316000
285776,CATHOLIC AGENCY FOR OVERSEAS DEVELOPMENT,5003000,41343000,49055000,46836000
1124127,CATCH 22 CHARITY LIMITED,0,4870000,48644000,48505000
210760,"THE SOLDIERS, SAILORS, AIRMEN AND FAMILIES ASSOCIATION - FORCES HELP",2069000,6467000,48453000,45733000
1123828,FUTURE ACADEMIES,NA,NA,47344006,13153272
